file name,nuclear condensate density,nuclear dilute density,nuclear partition coefficient
20250424_10ntABr 4arm_NucDFHBI40uM_20-40_2_2.tif,3073.6806198430268,108.3846731780616,28.358996984687845
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_3.tif,904.9530032671526,72.95818181818181,12.403721977644327
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_1_2 cells discard dead cell.tif,436.91739552964043,86.55636363636364,5.047779009816036
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_3.tif,1501.1755853781797,234.6109090909091,6.398575373988645
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_4.tif,1864.3490341247552,128.79181818181817,14.475679126548346
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_2_2 cells.tif,1452.840900233827,80.8790909090909,17.96312104777288
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_4.tif,2184.7112450787404,76.17545454545454,28.67998961233772
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_3.tif,1368.1184759166067,95.24492862509392,14.36421335672199
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_1.tif,351.12449799196787,71.65063861758077,4.900507584670895
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_2.tif,1919.255912539045,94.99023290758828,20.204771099005544
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_3_4 cells.tif,704.5391509433962,83.27648384673178,8.460241335838367
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_2_2 cells.tif,991.8218560277537,69.66818181818182,14.2363677383771
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_3_2 cells.tif,320.82458233890213,71.03818181818181,4.516227388252059
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_1_4 cells.tif,552.3955357142858,72.30818181818182,7.639461010142374
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_1.tif,883.3770471915565,72.41454545454546,12.198889624268254
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_2.tif,1005.0711047482702,81.33636363636364,12.356971221896693
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_3.tif,1031.3451946472019,88.57181818181819,11.644168718881668
20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_4.tif,1542.585958313744,131.38181818181818,11.741243801170208
