file name,nuclear condensate density,nuclear dilute density,nuclear partition coefficient
20240525_JABr_2arm_40uMDFHBI_Sample1_1_1.tif,775.4399494310999,173.61636363636364,4.466398979852181
20240525_JABr_2arm_40uMDFHBI_Sample1_1_2.tif,607.2388730541547,191.81181818181818,3.1658053127808516
20240525_JABr_2arm_40uMDFHBI_Sample1_1_3.tif,319.37156231714454,147.85090909090908,2.1600919756318344
20240525_JABr_2arm_40uMDFHBI_Sample1_1_4.tif,805.4004358280733,369.3454545454546,2.180615534633456
20240525_JABr_2arm_40uMDFHBI_Sample1_1_5.tif,359.5859681513963,212.21636363636364,1.6944309194155875
20240525_JABr_2arm_40uMDFHBI_Sample1_1_6.tif,965.1165084002922,422.3772727272727,2.2849631614139048
20240525_JABr_2arm_40uMDFHBI_Sample1_1_7.tif,212.52941176470588,111.56636363636363,1.9049595670019188
20240525_JABr_2arm_40uMDFHBI_Sample1_1_8.tif,302.6056338028169,137.56636363636363,2.199706569279611
20240525_JABr_2arm_40uMDFHBI_Sample1_1_9.tif,341.26887871853546,142.57272727272726,2.393647685968176
20240525_JABr_2arm_40uMDFHBI_Sample1_3_1.tif,419.9085457271364,202.7290909090909,2.0712791826972405
20240525_JABr_2arm_40uMDFHBI_Sample1_3_2.tif,3438.006674519042,395.2481818181818,8.698349120048729
20240525_JABr_2arm_40uMDFHBI_Sample1_3_3.tif,438.85714285714283,109.35909090909091,4.01299187117384
20240525_JABr_2arm_40uMDFHBI_Sample1_3_4.tif,120.83752093802345,47.89454545454546,2.5229912882815615
20240525_JABr_2arm_40uMDFHBI_Sample1_3_5.tif,576.694172161825,187.99818181818182,3.0675518591959667
20240525_JABr_2arm_40uMDFHBI_Sample1_3_6.tif,142.144121987211,71.86727272727273,1.9778699899553736
20240525_JABr_2arm_40uMDFHBI_Sample1_3_7.tif,245.50252525252526,104.6290909090909,2.3464078978363205
20240525_JABr_2arm_40uMDFHBI_Sample2_1_1.tif,193.86211180124224,68.25636363636363,2.8402056815397363
20240525_JABr_2arm_40uMDFHBI_Sample2_1_2.tif,223.14692843571882,103.39545454545454,2.158188959241137
20240525_JABr_2arm_40uMDFHBI_Sample2_1_3.tif,501.2382978723404,165.7590909090909,3.0238962769603996
20240525_JABr_2arm_40uMDFHBI_Sample2_1_4.tif,185.64251781472683,70.74,2.6242934381499414
20240525_JABr_2arm_40uMDFHBI_Sample2_1_5.tif,202.23139013452914,81.32727272727273,2.486636811401543
20240525_JABr_2arm_40uMDFHBI_Sample3_1_1.tif,504.3738920225625,267.57545454545453,1.884978175144543
20240525_JABr_2arm_40uMDFHBI_Sample3_1_2.tif,419.63706563706563,179.8090909090909,2.3337922655380563
20240525_JABr_2arm_40uMDFHBI_Sample3_1_3.tif,331.0683760683761,116.67545454545454,2.837515202817557
