file name,cytoplasmic condensate density,cytoplasmic dilute density,cytoplasmic partition coefficient
20250523_25ntwtBr_40uMDFHBI_20-40_sample1_1_1_2 cells.tif,377.651540934014,72.53090909090909,5.206766958630996
20250523_25ntwtBr_40uMDFHBI_20-40_sample1_1_2.tif,529.7189239332097,66.30181818181818,7.98950825874144
20250523_25ntwtBr_40uMDFHBI_20-40_sample1_1_3.tif,287.3939506539834,72.43636363636364,3.9675369693697506
20250523_25ntwtBr_40uMDFHBI_20-40_sample1_1_4.tif,361.64888762122075,72.09363636363636,5.016377392826788
20250523_25ntwtBr_40uMDFHBI_20-40_sample1_1_5.tif,436.7140354718634,72.11909090909091,6.055456744766229
20250523_25ntwtBr_40uMDFHBI_20-40_sample1_1_6.tif,960.9979761637059,68.57272727272728,14.014288396925313
20250523_25ntwtBr_40uMDFHBI_20-40_sample1_2_1_6 cells.tif,452.993603248171,144.57700976709242,3.133234004340835
20250523_25ntwtBr_40uMDFHBI_20-40_sample1_2_2.tif,594.5793799028763,60.62909090909091,9.806833171792178
20250523_25ntwtBr_40uMDFHBI_20-40_sample1_2_3_3 cells.tif,646.0471540329107,64.87545454545455,9.958267862004146
20250523_25ntwtBr_40uMDFHBI_20-40_sample1_2_4.tif,308.32394366197184,61.164545454545454,5.040893239223094
20250523_25ntwtBr_40uMDFHBI_20-40_sample1_2_5.tif,458.3018683996751,86.75636363636363,5.282631143009081
20250523_25ntwtBr_40uMDFHBI_20-40_sample1_3_1_4 cells.tif,441.8265706061247,104.1209090909091,4.243399087308785
20250523_25ntwtBr_40uMDFHBI_20-40_sample1_3_2_2 cells.tif,509.99977912267525,75.34363636363636,6.768982806473886
20250523_25ntwtBr_40uMDFHBI_20-40_sample2_1_1.tif,170.27560240963857,63.9068369646882,2.6644348319683626
20250523_25ntwtBr_40uMDFHBI_20-40_sample2_1_2.tif,294.04456685027543,71.02103681442524,4.140246045951153
20250523_25ntwtBr_40uMDFHBI_20-40_sample2_1_3.tif,362.80227471566053,67.83272727272727,5.348484268618347
20250523_25ntwtBr_40uMDFHBI_20-40_sample2_2_1.tif,193.6936550710436,63.158181818181816,3.066802265281227
20250523_25ntwtBr_40uMDFHBI_20-40_sample2_2_2.tif,306.87168427862844,62.53545454545455,4.907163248578861
20250523_25ntwtBr_40uMDFHBI_20-40_sample2_2_4.tif,513.6282047766596,74.52254656658326,6.89225245835837
20250523_25ntwtBr_40uMDFHBI_20-40_sample2_3_1.tif,152.36947935368042,65.8,2.315645582882681
20250523_25ntwtBr_40uMDFHBI_20-40_sample2_3_2.tif,160.30715043175277,70.3490909090909,2.2787380527619154
20250523_25ntwtBr_40uMDFHBI_20-40_sample2_3_3.tif,223.95648899673668,63.74272727272727,3.513443785336086
20250523_25ntwtBr_40uMDFHBI_20-40_sample3_1_1.tif,250.05737956428354,78.39090909090909,3.189877276130255
20250523_25ntwtBr_40uMDFHBI_20-40_sample3_1_2.tif,226.9289592760181,67.56636363636363,3.3586084415809365
20250523_25ntwtBr_40uMDFHBI_20-40_sample3_1_3.tif,326.0124633431085,70.20818181818181,4.643510982628538
20250523_25ntwtBr_40uMDFHBI_20-40_sample3_1_4.tif,336.8462600690449,63.99272727272727,5.263820975053264
20250523_25ntwtBr_40uMDFHBI_20-40_sample3_2_1.tif,255.21867687726015,65.39,3.9030230444603173
20250523_25ntwtBr_40uMDFHBI_20-40_sample3_2_2.tif,474.9415044507483,150.63181818181818,3.1529958954453856
20250523_25ntwtBr_40uMDFHBI_20-40_sample3_2_3.tif,304.1667662881052,69.45545454545454,4.379307115311524
20250523_25ntwtBr_40uMDFHBI_20-40_sample3_2_4.tif,233.28415675510826,68.93764087152518,3.383988105857372
20250523_25ntwtBr_40uMDFHBI_20-40_sample3_3_1.tif,144.3441372735939,74.79818181818182,1.9297813631949403
20250523_25ntwtBr_40uMDFHBI_20-40_sample3_3_2.tif,190.0868778280543,59.38636363636363,3.2008506025389933
