Cell,Class,Average volume
Sample1_1_1_inside,Class A,14.972272515296936
Sample1_1_2_inside,Class A,13.436426162719727
Sample1_2_1_inside,Class A,58.10179901123047
Sample1_2_2_inside,Class A,10.216071543594202
Sample1_3_1_inside,Class A,6.528660592855886
Sample1_1_1_inside,Class A,163.2779998779297
Sample1_1_2_inside,Class A,7.965014457702637
Sample1_1_4_inside,Class A,59.82229995727539
Sample1_2_1_inside,Class A,14.12801720414843
Sample1_2_1_inside,Class B,8.007280393080277
Sample1_2_2_inside,Class A,169.1790008544922
Sample1_2_3_inside,Class A,11.53576528109037
Sample1_2_4_inside,Class A,76.76570129394531
Sample1_2_4_inside,Class B,90.17285013198853
Sample1_2_5_inside,Class A,10.782249987125397
Sample1_2_6_inside,Class A,10.816171097507079
Sample1_3_1_inside,Class A,2.4850316047668457
Sample1_3_1_inside,Class B,341.02899169921875
Sample1_3_1_inside,Class C,2.999309241771698
Sample1_3_3_inside,Class A,125.40499877929688
Sample1_3_5_inside,Class A,182.7030029296875
Sample1_3_6_inside,Class A,9.528024252090189
Sample1_4_1_inside,Class A,133.6479949951172
Sample1_4_2_inside,Class A,114.1510009765625
Sample1_4_4_inside,Class A,47.66214847564697
Sample1_4_5_inside,Class A,22.64786720275879
Sample1_4_6_inside,Class A,183.6300048828125
Sample1_4_7_inside,Class A,154.47999572753906
Sample1_4_8_inside,Class A,17.881340861320496
Sample2_1_1_inside,Class A,2.2876916070498767
Sample2_1_1_inside,Class B,8.143768310546875
Sample2_1_2_inside,Class A,14.397113050733294
Sample2_1_3_inside,Class A,181.29299926757812
Sample2_2_1_inside,Class A,14.115531285603842
Sample2_2_2_inside,Class A,62.26930046081543
Sample2_3_1_inside,Class A,9.097481983549455
Sample2_3_2_inside,Class A,79.79704284667969
Sample2_3_2_inside,Class B,39.66977723439535
Sample2_3_3_inside,Class A,5.315582791964213
Sample2_4_1_inside,Class A,12.571579933166504
Sample2_4_2_inside,Class A,9.338215947151184
Sample3_1_1_inside,Class A,319.36700439453125
Sample3_1_2_inside,Class A,86.26580333709717
Sample3_1_3_inside,Class A,44.94479429721832
Sample3_2_1_inside,Class A,7.861064052581787
Sample3_2_1_inside,Class B,8.11702287197113
Sample3_2_2_inside,Class A,9.820964908599853
Sample3_3_1_inside,Class B,4.285366490483284
Sample3_3_2_inside,Class A,0.6037818647455424
Sample3_3_2_inside,Class B,2.95105776054835
