Cell,Class,Average volume
Sample1_1_1_inside,Class A,0.8687115761523063
Sample1_1_1_inside,Class B,3.4382559632261596
Sample1_1_1_inside,Class C,2.953302418192228
Sample1_1_1_inside,Class D,7.922891957685351
Sample1_1_2_inside,Class A,7.786431661673954
Sample1_1_2_inside,Class B,5.730493863423665
Sample1_1_3_inside,Class A,8.447561836242675
Sample1_1_3_inside,Class B,4.7926117645369635
Sample1_1_3_inside,Class C,139.96979665756226
Sample1_1_3_inside,Class D,0.2715783953666687
Sample1_1_3_inside,Class E,0.20185744110494852
Sample1_1_4_inside,Class A,395.1610107421875
Sample1_1_5_inside,Class A,233.46401572227478
Sample1_1_6_inside,Class A,9.352723598480225
Sample1_2_1_inside,Class A,8.171909039670771
Sample1_2_1_inside,Class B,5.648715578267971
Sample1_2_1_inside,Class C,381.67999267578125
Sample1_2_2_inside,Class A,29.270802402496336
Sample1_2_2_inside,Class B,182.906005859375
Sample1_2_3_inside,Class A,9.60706239938736
Sample1_2_3_inside,Class C,254.8939971923828
Sample1_2_4_inside,Class A,100.2612218062083
Sample1_2_4_inside,Class B,1.9373436463730676
Sample1_2_4_inside,Class C,1.0847567764835224
Sample1_2_5_inside,Class B,0.9728374145925045
Sample2_1_1_inside,Class B,311.427001953125
Sample2_1_2_inside,Class B,269.097363948822
Sample2_1_4_inside,Class A,1.5421735528442595
Sample2_1_4_inside,Class B,1.2417128891462372
Sample2_1_6_inside,Class A,59.83780177434286
Sample3_1_1_inside,Class B,363.875
Sample3_1_2_inside,Class A,15.301852242513137
Sample3_1_3_inside,Class A,126.33999633789062
Sample3_1_4_inside,Class A,3.106261759251356
Sample3_1_4_inside,Class B,9.188783142301771
Sample3_2_1_inside,Class A,2.417683396311033
Sample3_2_1_inside,Class B,542.10302734375
Sample3_2_1_inside,Class C,369.2659912109375
Sample3_2_2_inside,Class A,5.569883853197098
Sample3_2_2_inside,Class B,3.0199638108412423
Sample3_2_2_inside,Class C,5.565730002191332
Sample3_2_3_inside,Class A,2.6618305440578194
Sample3_2_3_inside,Class B,2.9894939235278537
Sample3_2_5_inside,Class A,52.853187084198
Sample3_2_5_inside,Class B,66.65461051464081
Sample3_2_6_inside,Class B,116.53116258978844
