,Volume
35,1.2694866689391109
42,1.3245885542680451
66,1.6402660638913198
67,0.8186484770898123
71,0.9172027472228128
72,0.6153810829207829
85,0.5123132617186235
94,0.7106384435437694
100,0.6656542250667903
105,0.7794511858216149
117,0.8239563122856665
120,1.923359012793251
121,0.8107182435074075
124,1.0810963425399347
142,0.603542467127654
144,0.952138641112866
165,0.7836684563038316
167,0.6779151982923683
172,0.9827033443532422
197,1.8957254897531932
220,0.8745287495334088
222,1.1969417485357714
231,1.0826307085695888
233,1.3830953306478826
237,1.0624960904065937
242,1.0731448134463446
243,0.8538063976952226
244,0.8293680522977641
247,1.2902081310999531
254,0.7668154940500157
259,2.233975699401025
281,1.9431233667847263
296,1.0634444418992077
318,1.035230942053494
329,0.8328518344344477
339,2.10393122291288
343,0.9144703893897765
344,1.7175456491948144
346,0.7770630902796962
376,1.7040445907506396
388,1.178734232819989
396,1.0395163720854608
397,1.369201408024952
399,1.2608477614568216
406,1.0673325904236517
435,1.2873483918520685
441,0.5717988071224108
442,0.6622096577360299
449,1.0838360550148427
450,1.2305762131459081
