,Volume
9,1.24353066847777
15,2.3045465142526815
58,1.1731028334807818
91,1.1712354950766857
92,1.4941508240375228
94,0.7999736077472972
104,1.4277611083393922
130,0.6451712540477275
133,1.9210068769163606
137,0.8095203753382386
165,0.6056828822336071
173,1.5901553597381153
177,1.8819269853781364
195,0.8309597543902674
224,1.7525671174343767
225,1.9304777838846356
227,0.6877407342286066
230,1.544341379080119
232,0.5428761220983361
239,1.360140116381061
245,1.3410874292267674
278,0.4869493368956569
280,2.5191795575059936
282,1.4956446947607995
308,1.5123748797749983
315,0.6443076100358331
317,1.611499182982349
320,1.1115255738620669
366,0.9238860807225958
371,1.6846956412586218
400,1.132232940791554
402,0.7093594409058298
414,1.5935664110416736
425,1.5715137859357926
430,3.101060321261593
476,1.0813008719520532
478,0.9326356308835436
480,0.8208994575746841
537,1.6236877211742966
540,1.2564295893156139
545,2.118437620951888
550,1.7233430348825414
557,0.7916429134611066
583,2.551921746387198
603,1.6087936029034553
623,1.9138841023772482
636,1.0970295454265024
653,1.0953267835997862
673,1.2046938969758234
712,1.7995096577795635
713,1.241663346438874
725,1.33616999296357
726,0.9827291339517186
728,1.0645963073120948
729,1.0358512647749223
733,0.8305506846873755
734,0.7817224749924125
735,1.4222166726258858
