,Volume
2,1.3729631642310482
8,0.6477908933828638
10,2.0014258537057397
12,1.2524688598283436
23,1.3527561222864193
39,1.2824490793698815
55,1.7607987527451137
75,1.9487392017754654
129,1.3681451372652254
151,2.3030667528144146
154,2.194327686261053
158,0.754921873316326
185,2.210844855031339
200,2.1469389941250214
248,0.9298355741467164
249,0.8793553666483972
251,1.6399242418159983
253,1.048927477427416
301,1.2846958617423678
303,1.5699701668663235
313,1.0934943444121752
316,1.0861576345770778
321,2.092989390611573
335,2.434195390997585
340,1.7972673167241147
346,2.09237697743669
348,1.7034027494098114
381,1.3733549170701662
413,1.9218076599683027
426,1.34247704479257
450,1.2256224868931624
451,0.7121446604125887
454,1.1716382655272342
467,1.0860412760738503
474,2.1627554994942337
475,1.217361033163992
477,1.0606934947654467
501,0.8194210762568277
526,1.2504007239489248
540,1.4226786741752355
542,1.088129605000201
543,1.2156217797473245
545,2.216880575890385
551,2.282463902788596
594,0.6973242615804225
607,0.7205809108944331
614,0.7440951179471573
627,1.0574035322978383
646,1.2597567939897931
660,1.9198673012619167
715,1.7388332575341463
769,1.7488683766628792
777,1.769087008548866
778,1.1214291999367967
783,1.7428213363006482
832,1.7872590449748342
838,1.0479743538188995
844,1.2653957518735912
845,1.2048635175727316
862,1.2358592367300563
863,1.33906082229856
874,1.2084064154536704
879,1.712660331303754
887,1.0984652859231712
890,1.0106533562458666
892,1.091354757889873
899,2.536906557855819
904,1.307119093759414
922,0.8978803816377584
928,0.731803179051334
938,1.1037394428035219
939,0.9597976231381474
968,1.1258129950460214
976,1.732297754811367
983,0.721471272665559
