,Volume
0,0.7520667972121318
2,1.4883940068607426
3,1.7012211507230532
13,1.0820762080525528
105,0.826935166980921
150,0.9094689611364187
160,0.8326009154406622
166,0.7217446672755368
168,1.6614980286140795
170,0.9361187302511617
174,0.6476560453524833
177,0.6756012020174001
200,1.2679140151898807
211,1.194435357307443
240,0.9674281215730834
242,0.7470613191056346
253,0.9590709853877382
265,0.3409636104151927
266,0.8452781062229466
275,1.4554245072220933
277,1.3966290043379863
280,1.318408976490349
289,1.5343739766028381
300,2.0207291188023557
305,1.1154607347703842
314,1.7600418067634742
391,0.8577666483328756
399,1.2062573407750496
401,0.9650763014577192
410,1.195020168191745
414,1.0981364983590778
428,1.0613059892262207
432,1.0133955147370215
458,1.8134105161728236
459,1.7228968831766913
460,1.7042206646135045
462,1.63733213368535
475,0.8481129829451224
488,0.8706186063041031
491,1.4574096096406672
528,2.0571851407737682
534,1.1022473377435484
555,0.7165627335131712
567,2.0085767385694333
568,1.917497831440486
602,1.0888482678649396
689,2.4334221972304553
693,1.3522630163717035
705,1.7279250628435805
708,2.0409645102720186
718,1.8752680283699799
719,0.538918079019778
720,1.6897805051302754
747,0.9903461874954758
750,0.9226672627503828
753,0.7069798282936239
762,0.6765122696450322
770,1.677010295852272
771,1.1674072605430024
779,0.8448726268334257
786,1.3477438972080853
810,1.524359397263518
815,1.7503853293881886
845,0.912136084869674
870,2.1591383370679598
872,1.6366919613244124
906,1.8309738283907082
926,1.1110061495032084
927,1.0493243963814352
931,0.6078458588093526
